epoch,stage,attempt,class,action
1785442438,m3-lint,1,no_commit,retrying
1785442518,m3-lint,2,success,commit
1785443774,T-003,0,already_complete,CATALOG_ENDPOINT
1785444914,m5-evaluate,1,no_commit,retrying
1785445932,m5-evaluate,2,success,commit
1785446179,m5-ship,0,pipeline_succeeded,coolstore-cart-service-v10-push-79vlh
1785446179,m5-ship,0,story_gate_pass,non-deploy story
1785446179,m5-ship,0,debt_retained,unresolved
1785447631,T-005,0,sensor_red_post_commit,verify
1785447861,T-005,0,style_autofix,partial
1785449422,T-009,0,already_complete,CATALOG_ENDPOINT
1785449840,m5-evaluate,1,success,commit
1785450096,m5-ship,0,pipeline_succeeded,coolstore-cart-service-v10-push-tpjtm
1785450096,m5-ship,0,story_gate_pass,non-deploy story
