session,start,end,seconds,rc
m3-lint-a1p0,1785442335,1785442438,103,rc=0
m3-lint-a2p0,1785442438,1785442518,80,rc=0
m5-evaluate-a1p0,1785444737,1785444914,177,rc=130
m5-evaluate-a2p0,1785445844,1785445932,88,rc=0
retro,1785446179,1785446238,59,rc=0
T-005-sfix,1785447861,1785448435,574,rc=0
m5-evaluate-a1p0,1785449766,1785449840,74,rc=0
retro,1785450097,1785450141,44,rc=0
T-003-a1p0,1785451434,1785451686,252,rc=0
T-003-sfix,1785452014,1785452861,847,rc=0
T-005-sfix,1785453780,1785454413,633,rc=0
m5-evaluate-a1p0,1785455241,1785455319,78,rc=0
preflightfix-r1-a1p0,1785455532,1785455693,161,rc=0
